,iso_code,location,date,total_cases,new_cases,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million
14918,KEN,Kenya,2020-07-14,10294.0,189.0,191.44,3.515,3.6639999999999997,0.223
15041,OWID_KOS,Kosovo,2020-07-14,5118.0,187.0,2648.007,96.75200000000001,55.878,3.1039999999999996
15235,KWT,Kuwait,2020-07-14,55508.0,614.0,12997.818000000001,143.775,92.025,0.7020000000000001
15353,KGZ,Kyrgyzstan,2020-07-14,11538.0,421.0,1768.495,64.529,22.838,0.307
15465,LAO,Laos,2020-07-14,19.0,0.0,2.611,0.0,0.0,0.0
15602,LVA,Latvia,2020-07-14,1174.0,1.0,622.415,0.53,16.435,0.53
15795,LBN,Lebanon,2020-07-14,2419.0,85.0,354.409,12.453,5.274,0.0
15856,LSO,Lesotho,2020-07-14,233.0,0.0,108.764,0.0,0.934,0.0
15976,LBR,Liberia,2020-07-14,1024.0,14.0,202.46400000000003,2.7680000000000002,10.084,0.0
16088,LBY,Libya,2020-07-14,1512.0,79.0,220.046,11.497,5.821000000000001,0.146
16214,LIE,Liechtenstein,2020-07-14,85.0,0.0,2228.8070000000002,0.0,26.221,0.0
16411,LTU,Lithuania,2020-07-14,1874.0,5.0,688.3910000000001,1.837,29.02,0.0
16601,LUX,Luxembourg,2020-07-14,4956.0,31.0,7917.236,49.523,177.32299999999998,0.0
16789,MKD,Macedonia,2020-07-14,8197.0,86.0,3934.472,41.278999999999996,184.796,1.44
16905,MDG,Madagascar,2020-07-14,5080.0,213.0,183.453,7.692,1.3359999999999999,0.07200000000000001
17008,MWI,Malawi,2020-07-14,2430.0,66.0,127.02600000000001,3.45,2.039,0.052000000000000005
17205,MYS,Malaysia,2020-07-14,8725.0,7.0,269.573,0.21600000000000003,3.7689999999999997,0.0
17332,MDV,Maldives,2020-07-14,2762.0,31.0,5109.686,57.35,24.05,0.0
17443,MLI,Mali,2020-07-14,2412.0,1.0,119.10600000000001,0.049,5.975,0.0
17603,MLT,Malta,2020-07-14,674.0,0.0,1526.479,0.0,20.383,0.0
17725,MRT,Mauritania,2020-07-14,5355.0,229.0,1151.697,49.251000000000005,31.615,0.645
17842,MUS,Mauritius,2020-07-14,342.0,0.0,268.91700000000003,0.0,7.8629999999999995,0.0
18039,MEX,Mexico,2020-07-14,304435.0,4685.0,2361.192,36.336999999999996,274.942,3.4360000000000004
18166,MDA,Moldova,2020-07-14,19439.0,57.0,4818.834,14.13,160.884,1.735
18351,MCO,Monaco,2020-07-14,109.0,0.0,2777.495,0.0,127.40799999999999,0.0
18472,MNG,Mongolia,2020-07-14,243.0,13.0,74.124,3.965,0.0,0.0
18591,MNE,Montenegro,2020-07-14,1287.0,66.0,2049.161,105.085,36.621,0.0
18706,MSR,Montserrat,2020-07-14,12.0,0.0,2400.48,0.0,200.04,0.0
18865,MAR,Morocco,2020-07-14,15936.0,191.0,431.746,5.175,6.909,0.135
18979,MOZ,Mozambique,2020-07-14,1219.0,62.0,39.001,1.984,0.28800000000000003,0.0
19093,MMR,Myanmar,2020-07-14,336.0,5.0,6.175,0.092,0.11,0.0
19215,NAM,Namibia,2020-07-14,861.0,76.0,338.85400000000004,29.91,0.39399999999999996,0.0
19412,NPL,Nepal,2020-07-14,16945.0,144.0,581.567,4.942,1.304,0.0
19609,NLD,Netherlands,2020-07-14,51038.0,71.0,2978.6040000000003,4.144,357.63300000000004,0.0
19725,NCL,New Caledonia,2020-07-14,21.0,0.0,73.557,0.0,0.0,0.0
19920,NZL,New Zealand,2020-07-14,1195.0,1.0,247.81099999999998,0.207,4.562,0.0
20038,NIC,Nicaragua,2020-07-14,2846.0,0.0,429.61400000000003,0.0,13.737,0.0
20154,NER,Niger,2020-07-14,1099.0,0.0,45.401,0.0,2.8089999999999997,0.0
20340,NGA,Nigeria,2020-07-14,33153.0,595.0,160.828,2.886,3.609,0.019
20446,MNP,Northern Mariana Islands,2020-07-14,33.0,0.0,573.345,0.0,34.748000000000005,0.0
20643,NOR,Norway,2020-07-14,8981.0,16.0,1656.631,2.951,46.668,0.184
20834,OMN,Oman,2020-07-14,58179.0,2164.0,11392.854,423.76300000000003,50.718,0.392
21026,PAK,Pakistan,2020-07-14,253604.0,1979.0,1148.089,8.959,24.084,0.244
21154,PSE,Palestine,2020-07-14,7441.0,403.0,1458.615,78.998,8.037,0.784
21282,PAN,Panama,2020-07-14,47173.0,1540.0,10932.917,356.914,216.002,5.331
21398,PNG,Papua New Guinea,2020-07-14,11.0,0.0,1.229,0.0,0.0,0.0
21528,PRY,Paraguay,2020-07-14,2980.0,32.0,417.80400000000003,4.486000000000001,3.505,0.42100000000000004
21661,PER,Peru,2020-07-14,330123.0,3797.0,10012.269,115.15899999999999,365.585,5.581
21854,PHL,Philippines,2020-07-14,57006.0,747.0,520.2180000000001,6.817,14.592,0.593
21986,POL,Poland,2020-07-14,38190.0,299.0,1009.073,7.9,41.641999999999996,0.132
22122,PRT,Portugal,2020-07-14,46818.0,306.0,4591.482,30.01,162.994,0.196
22231,PRI,Puerto Rico,2020-07-14,10010.0,189.0,3498.972,66.065,58.373999999999995,0.0
22424,QAT,Qatar,2020-07-14,104016.0,418.0,36103.379,145.085,51.717,0.6940000000000001
22619,ROU,Romania,2020-07-14,32948.0,413.0,1712.68,21.468000000000004,98.816,0.884
22816,RUS,Russia,2020-07-14,733699.0,6537.0,5027.593,44.794,78.385,0.713
22938,RWA,Rwanda,2020-07-14,1378.0,41.0,106.391,3.165,0.309,0.0
23049,KNA,Saint Kitts and Nevis,2020-07-14,17.0,0.0,319.597,0.0,0.0,0.0
23171,LCA,Saint Lucia,2020-07-14,22.0,0.0,119.807,0.0,0.0,0.0
23284,VCT,Saint Vincent and the Grenadines,2020-07-14,35.0,0.0,315.466,0.0,0.0,0.0
23480,SMR,San Marino,2020-07-14,714.0,0.0,21038.363999999998,0.0,1237.5510000000002,0.0
23577,STP,Sao Tome and Principe,2020-07-14,732.0,3.0,3340.01,13.689,63.88,0.0
23708,SAU,Saudi Arabia,2020-07-14,235111.0,2852.0,6753.371999999999,81.921,64.428,0.574
23843,SEN,Senegal,2020-07-14,8198.0,63.0,489.61,3.763,8.958,0.11900000000000001
23983,SRB,Serbia,2020-07-14,18639.0,279.0,2739.178,41.001999999999995,59.519,1.764
24105,SYC,Seychelles,2020-07-14,100.0,0.0,1016.88,0.0,0.0,0.0
24210,SLE,Sierra Leone,2020-07-14,1642.0,7.0,205.842,0.878,7.898,0.0
24407,SGP,Singapore,2020-07-14,46283.0,322.0,7911.16,55.04,4.444,0.0
24518,SXM,Sint Maarten (Dutch part),2020-07-14,78.0,0.0,1818.945,0.0,349.79699999999997,0.0
24647,SVK,Slovakia,2020-07-14,1902.0,1.0,348.374,0.183,5.129,0.0
24778,SVN,Slovenia,2020-07-14,1849.0,8.0,889.3989999999999,3.8480000000000003,53.393,0.0
24898,SOM,Somalia,2020-07-14,3059.0,0.0,192.472,0.0,5.852,0.0
25057,ZAF,South Africa,2020-07-14,287796.0,11554.0,4852.51,194.81099999999998,70.344,1.568
25254,KOR,South Korea,2020-07-14,13512.0,33.0,263.55,0.644,5.6370000000000005,0.0
25354,SSD,South Sudan,2020-07-14,2148.0,9.0,191.893,0.804,3.6630000000000003,0.0
25738,LKA,Sri Lanka,2020-07-14,2646.0,29.0,123.568,1.354,0.514,0.0
25861,SDN,Sudan,2020-07-14,10316.0,66.0,235.26,1.505,14.982999999999999,0.16
25978,SUR,Suriname,2020-07-14,780.0,39.0,1329.619,66.48100000000001,30.684,0.0
26100,SWZ,Swaziland,2020-07-14,1389.0,38.0,1197.245,32.754,17.239,0.0
26297,SWE,Sweden,2020-07-14,75826.0,928.0,7508.066999999999,91.88799999999999,548.158,0.99
26494,CHE,Switzerland,2020-07-14,32861.0,63.0,3796.9320000000002,7.279,194.69400000000002,0.0
26608,SYR,Syria,2020-07-14,417.0,23.0,23.828000000000003,1.314,1.0859999999999999,0.171
26804,TWN,Taiwan,2020-07-14,451.0,0.0,18.936,0.0,0.294,0.0
26879,TJK,Tajikistan,2020-07-14,6595.0,43.0,691.471,4.508,5.767,0.0
26999,TZA,Tanzania,2020-07-14,509.0,0.0,8.521,0.0,0.35200000000000004,0.0
27189,THA,Thailand,2020-07-14,3227.0,7.0,46.232,0.1,0.831,0.0
27304,TLS,Timor,2020-07-14,24.0,0.0,18.203,0.0,0.0,0.0
27437,TGO,Togo,2020-07-14,721.0,1.0,87.09100000000001,0.121,1.8119999999999998,0.0
27561,TTO,Trinidad and Tobago,2020-07-14,133.0,0.0,95.035,0.0,5.716,0.0
27696,TUN,Tunisia,2020-07-14,1302.0,39.0,110.165,3.3,4.231,0.0
27819,TUR,Turkey,2020-07-14,214001.0,1008.0,2537.389,11.952,63.81399999999999,0.225
27931,TCA,Turks and Caicos Islands,2020-07-14,72.0,0.0,1859.6,0.0,51.656000000000006,0.0
28046,UGA,Uganda,2020-07-14,1029.0,4.0,22.496,0.087,0.0,0.0
28169,UKR,Ukraine,2020-07-14,54771.0,638.0,1252.373,14.588,32.286,0.32
28360,ARE,United Arab Emirates,2020-07-14,55198.0,344.0,5580.967,34.781,33.77,0.10099999999999999
28557,GBR,United Kingdom,2020-07-14,290133.0,530.0,4273.826,7.807,660.372,0.162
28754,USA,United States,2020-07-14,3363056.0,58114.0,10160.209,175.57,409.68,1.208
28866,VIR,United States Virgin Islands,2020-07-14,217.0,36.0,2078.0860000000002,344.75199999999995,57.458999999999996,0.0
28988,URY,Uruguay,2020-07-14,989.0,2.0,284.709,0.5760000000000001,8.924,0.0
29109,UZB,Uzbekistan,2020-07-14,13872.0,679.0,414.471,20.287,1.912,0.09
29231,VAT,Vatican,2020-07-14,12.0,0.0,14833.127,0.0,0.0,0.0
29352,VEN,Venezuela,2020-07-14,9707.0,242.0,341.36400000000003,8.51,3.2710000000000004,0.141
29549,VNM,Vietnam,2020-07-14,373.0,1.0,3.832,0.01,0.0,0.0
29629,ESH,Western Sahara,2020-07-14,761.0,242.0,1274.003,405.13599999999997,1.6740000000000002,0.0
29725,YEM,Yemen,2020-07-14,1498.0,33.0,50.225,1.1059999999999999,14.216,0.235
29843,ZMB,Zambia,2020-07-14,1895.0,0.0,103.079,0.0,2.285,0.0
29959,ZWE,Zimbabwe,2020-07-14,1034.0,49.0,69.569,3.2969999999999997,1.278,0.067
30156,OWID_WRL,World,2020-07-14,13079218.0,189425.0,1677.942,24.301,73.467,0.503
